#t lex rand randsort randsortdesc randw randwnoh 
9912 715438317.822 688177829.969 727786438.986 652236572.392 702079757.701 715855984.119
9913 715476189.68 688211542.503 727824181.285 652269529.993 702113906.615 715895108.373
9914 715514061.539 688245255.037 727861923.584 652302487.595 702148055.529 715934232.628
9915 715551933.397 688278967.571 727899665.882 652335445.196 702182204.443 715973356.882
9916 715589805.256 688312680.105 727937408.181 652368402.797 702216353.357 716012481.137
9917 715627677.114 688346392.639 727975150.48 652401360.399 702250502.271 716051605.392
9918 715665548.973 688380105.174 728012892.779 652434318.0 702284651.185 716090729.646
9919 715703420.831 688413817.708 728050635.077 652467275.601 702318800.098 716129853.901
9920 715741292.69 688447530.242 728088377.376 652500233.203 702352949.012 716168978.156
9921 715779164.548 688481242.776 728126119.675 652533190.804 702387097.926 716208102.41
9922 715817036.407 688514955.31 728163861.974 652566148.405 702421246.84 716247226.665
9923 715854908.265 688548667.844 728201604.272 652599106.007 702455395.754 716286350.92
9924 715892780.124 688582380.378 728239346.571 652632063.608 702489544.668 716325475.174
9925 715930651.982 688616092.913 728277088.87 652665021.21 702523693.581 716364599.429
9926 715968523.841 688649805.447 728314831.169 652697978.811 702557842.495 716403723.683
9927 716006395.699 688683517.981 728352573.467 652730936.412 702591991.409 716442847.938
9928 716044267.558 688717230.515 728390315.766 652763894.014 702626140.323 716481972.193
9929 716082139.416 688750943.049 728428058.065 652796851.615 702660289.237 716521096.447
