#t lex rand randsort randsortdesc randw randwnoh 
32168 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920915414.6
32169 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1920959965.28
32170 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921004515.96
32171 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921049066.64
32172 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921093617.31
32173 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921138167.99
32174 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921182718.67
32175 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921227269.35
32176 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921271820.03
32177 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921316370.7
32178 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921360921.38
32179 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921405472.06
32180 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921450022.74
32181 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921494573.42
32182 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921539124.09
32183 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921583674.77
32184 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921628225.45
32185 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921672776.13
32186 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921717326.81
32187 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921761877.48
32188 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921806428.16
32189 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921850978.84
32190 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921895529.52
32191 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921940080.2
32192 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1921984630.87
32193 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922029181.55
32194 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922073732.23
32195 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922118282.91
32196 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922162833.59
32197 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922207384.26
32198 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922251934.94
32199 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922296485.62
32200 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922341036.3
32201 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922385586.98
32202 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922430137.65
32203 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922474688.33
32204 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922519239.01
32205 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922563789.69
32206 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922608340.37
32207 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922652891.04
32208 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922697441.72
32209 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922741992.4
32210 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922786543.08
32211 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922831093.76
32212 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922875644.44
32213 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922920195.11
32214 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1922964745.79
32215 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923009296.47
32216 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923053847.15
32217 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1923098397.83
