#t lex rand randsort randsortdesc randw randwnoh 
12904 635485574.154 662804217.313 844704879.168 552651660.209 573322061.281 458730781.962
12905 635493108.203 662836603.41 844750004.33 552659194.258 573354386.766 458738316.012
12906 635500642.253 662868989.508 844795129.492 552666728.308 573386712.251 458745850.061
12907 635508176.302 662901375.605 844840254.655 552674262.357 573419037.736 458753384.11
12908 635515710.352 662933761.702 844885379.817 552681796.407 573451363.221 458760918.16
12909 635523244.401 662966147.799 844930504.979 552689330.456 573483688.706 458768452.209
12910 635530778.45 662998533.896 844975630.141 552696864.506 573516014.191 458775986.259
12911 635538312.5 663030919.993 845020755.304 552704398.555 573548339.676 458783520.308
12912 635545846.549 663063306.09 845065880.466 552711932.605 573580665.16 458791054.358
12913 635553380.599 663095692.187 845111005.628 552719466.654 573612990.645 458798588.407
12914 635560914.648 663128078.284 845156130.791 552727000.704 573645316.13 458806122.457
12915 635568448.698 663160464.381 845201255.953 552734534.753 573677641.615 458813656.506
12916 635575982.747 663192850.479 845246381.115 552742068.803 573709967.1 458821190.556
12917 635583516.797 663225236.576 845291506.278 552749602.852 573742292.585 458828724.605
12918 635591050.846 663257622.673 845336631.44 552757136.902 573774618.07 458836258.655
12919 635598584.896 663290008.77 845381756.602 552764670.951 573806943.555 458843792.704
12920 635606118.945 663322394.867 845426881.765 552772205.001 573839269.039 458851326.754
12921 635613652.995 663354780.964 845472006.927 552779739.05 573871594.524 458858860.803
12922 635621187.044 663387167.061 845517132.089 552787273.1 573903920.009 458866394.853
12923 635628721.094 663419553.158 845562257.251 552794807.149 573936245.494 458873928.902
12924 635636255.143 663451939.255 845607382.414 552802341.199 573968570.979 458881462.952
12925 635643789.193 663484325.352 845652507.576 552809875.248 574000896.464 458888997.001
12926 635651323.242 663516711.45 845697632.738 552817409.298 574033221.949 458896531.051
12927 635658857.292 663549097.547 845742757.901 552824943.347 574065547.434 458904065.1
12928 635666391.341 663581483.644 845787883.063 552832477.396 574097872.918 458911599.15
12929 635673925.391 663613869.741 845833008.225 552840011.446 574130198.403 458919133.199
12930 635681459.44 663646255.838 845878133.388 552847545.495 574162523.888 458926667.249
12931 635688993.49 663678641.935 845923258.55 552855079.545 574194849.373 458934201.298
12932 635696527.539 663711028.032 845968383.712 552862613.594 574227174.858 458941735.348
12933 635704061.589 663743414.129 846013508.875 552870147.644 574259500.343 458949269.397
12934 635711595.638 663775800.226 846058634.037 552877681.693 574291825.828 458956803.446
12935 635719129.687 663808186.323 846103759.199 552885215.743 574324151.313 458964337.496
12936 635726663.737 663840572.421 846148884.361 552892749.792 574356476.797 458971871.545
12937 635734197.786 663872958.518 846194009.524 552900283.842 574388802.282 458979405.595
12938 635741731.836 663905344.615 846239134.686 552907817.891 574421127.767 458986939.644
12939 635749265.885 663937730.712 846284259.848 552915351.941 574453453.252 458994473.694
12940 635756799.935 663970116.809 846329385.011 552922885.99 574485778.737 459002007.743
12941 635764333.984 664002502.906 846374510.173 552930420.04 574518104.222 459009541.793
12942 635771868.034 664034889.003 846419635.335 552937954.089 574550429.707 459017075.842
12943 635779402.083 664067275.1 846464760.498 552945488.139 574582755.192 459024609.892
